word,lexicon
0,spa
1,spa
2,spa
3,spa
4,spa
5,spa
6,spa
7,spa
8,spa
9,spa
_,spa
a,spa
actualmente,spa
acuerdo,spa
adelante,spa
ademas,spa
además,spa
adrede,spa
afirmó,spa
agregó,spa
ahi,spa
ahora,spa
ahí,spa
al,spa
algo,spa
alguna,spa
algunas,spa
alguno,spa
algunos,spa
algún,spa
alli,spa
allí,spa
alrededor,spa
ambos,spa
ampleamos,spa
antano,spa
antaño,spa
ante,spa
anterior,spa
antes,spa
apenas,spa
aproximadamente,spa
aquel,spa
aquella,spa
aquellas,spa
aquello,spa
aquellos,spa
aqui,spa
aquél,spa
aquélla,spa
aquéllas,spa
aquéllos,spa
aquí,spa
arriba,spa
arribaabajo,spa
aseguró,spa
asi,spa
así,spa
atras,spa
aun,spa
aunque,spa
ayer,spa
añadió,spa
aún,spa
b,spa
bajo,spa
bastante,spa
bien,spa
breve,spa
buen,spa
buena,spa
buenas,spa
bueno,spa
buenos,spa
c,spa
cada,spa
casi,spa
cerca,spa
cierta,spa
ciertas,spa
cierto,spa
ciertos,spa
cinco,spa
claro,spa
comentó,spa
como,spa
con,spa
conmigo,spa
conocer,spa
conseguimos,spa
conseguir,spa
considera,spa
consideró,spa
consigo,spa
consigue,spa
consiguen,spa
consigues,spa
contigo,spa
contra,spa
cosas,spa
creo,spa
cual,spa
cuales,spa
cualquier,spa
cuando,spa
cuanta,spa
cuantas,spa
cuanto,spa
cuantos,spa
cuatro,spa
cuenta,spa
cuál,spa
cuáles,spa
cuándo,spa
cuánta,spa
cuántas,spa
cuánto,spa
cuántos,spa
cómo,spa
d,spa
da,spa
dado,spa
dan,spa
dar,spa
de,spa
debajo,spa
debe,spa
deben,spa
debido,spa
decir,spa
dejó,spa
del,spa
delante,spa
demasiado,spa
demás,spa
dentro,spa
deprisa,spa
desde,spa
despacio,spa
despues,spa
después,spa
detras,spa
detrás,spa
dia,spa
dias,spa
dice,spa
dicen,spa
dicho,spa
dieron,spa
diferente,spa
diferentes,spa
dijeron,spa
dijo,spa
dio,spa
donde,spa
dos,spa
durante,spa
día,spa
días,spa
dónde,spa
e,spa
ejemplo,spa
el,spa
ella,spa
ellas,spa
ello,spa
ellos,spa
embargo,spa
empleais,spa
emplean,spa
emplear,spa
empleas,spa
empleo,spa
en,spa
encima,spa
encuentra,spa
enfrente,spa
enseguida,spa
entonces,spa
entre,spa
era,spa
erais,spa
eramos,spa
eran,spa
eras,spa
eres,spa
es,spa
esa,spa
esas,spa
ese,spa
eso,spa
esos,spa
esta,spa
estaba,spa
estabais,spa
estaban,spa
estabas,spa
estad,spa
estada,spa
estadas,spa
estado,spa
estados,spa
estais,spa
estamos,spa
estan,spa
estando,spa
estar,spa
