"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @infodemiaMex: <U+0001F6A8>#FakeNewsAlert

<U+274C>#Falso que Universidad de Guadalajara pida a aspirantes acudir a #marcha

<U+2714><U+FE0F>La @udg_oficial aclaró que…",FALSE,0,NA,2022-05-28 23:52:12,FALSE,NA,"1530698483501518849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jorgeelmeoutlo1",9,TRUE,FALSE,NA,NA
"RT @Elchemamon2022: Soñé que después de que @PabloLemusN estuvo mame y mame y mame y mame con que la @udg_oficial cancelara la mega marcha,…",FALSE,0,NA,2022-05-28 23:44:55,FALSE,NA,"1530696650842308610",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrHGonzalez1",3,TRUE,FALSE,NA,NA
"RT @infodemiaMex: <U+0001F6A8>#FakeNewsAlert

<U+274C>#Falso que Universidad de Guadalajara pida a aspirantes acudir a #marcha

<U+2714><U+FE0F>La @udg_oficial aclaró que…",FALSE,0,NA,2022-05-28 23:06:15,FALSE,NA,"1530686922271727616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","melorzav",9,TRUE,FALSE,NA,NA
"RT @infodemiaMex: <U+0001F6A8>#FakeNewsAlert

<U+274C>#Falso que Universidad de Guadalajara pida a aspirantes acudir a #marcha

<U+2714><U+FE0F>La @udg_oficial aclaró que…",FALSE,0,NA,2022-05-28 23:05:50,FALSE,NA,"1530686816915009538",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rossy_26",9,TRUE,FALSE,NA,NA
"RT @infodemiaMex: <U+0001F6A8>#FakeNewsAlert

<U+274C>#Falso que Universidad de Guadalajara pida a aspirantes acudir a #marcha

<U+2714><U+FE0F>La @udg_oficial aclaró que…",FALSE,0,NA,2022-05-28 22:54:03,FALSE,NA,"1530683851583930371",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IsisLennon1",9,TRUE,FALSE,NA,NA
"@ClementeCH @EFToussaint La columna q mejor ha entendido a la @udg_oficial y sus rituales es @DiegoPetersen la marc… https://t.co/fh36u3Egpn",FALSE,0,"ClementeCH",2022-05-28 22:51:23,TRUE,"1530577916056174592","1530683178662469633","103439059","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","svamex",0,FALSE,FALSE,NA,NA
"RT @infodemiaMex: <U+0001F6A8>#FakeNewsAlert

<U+274C>#Falso que Universidad de Guadalajara pida a aspirantes acudir a #marcha

<U+2714><U+FE0F>La @udg_oficial aclaró que…",FALSE,0,NA,2022-05-28 22:06:36,FALSE,NA,"1530671908370321408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RACSOGARCIA77",9,TRUE,FALSE,NA,NA
"RT @infodemiaMex: <U+0001F6A8>#FakeNewsAlert

<U+274C>#Falso que Universidad de Guadalajara pida a aspirantes acudir a #marcha

<U+2714><U+FE0F>La @udg_oficial aclaró que…",FALSE,0,NA,2022-05-28 21:35:50,FALSE,NA,"1530664167383961600",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Arce85Azul",9,TRUE,FALSE,NA,NA
"RT @infodemiaMex: <U+0001F6A8>#FakeNewsAlert

<U+274C>#Falso que Universidad de Guadalajara pida a aspirantes acudir a #marcha

<U+2714><U+FE0F>La @udg_oficial aclaró que…",FALSE,0,NA,2022-05-28 21:33:29,FALSE,NA,"1530663574783381505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RedMorenaMex",9,TRUE,FALSE,NA,NA
"RT @infodemiaMex: <U+0001F6A8>#FakeNewsAlert

<U+274C>#Falso que Universidad de Guadalajara pida a aspirantes acudir a #marcha

<U+2714><U+FE0F>La @udg_oficial aclaró que…",FALSE,0,NA,2022-05-28 21:02:58,FALSE,NA,"1530655896715534337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GallagherSussy",9,TRUE,FALSE,NA,NA
